id,type,unit_id,title,release_date,now_available

1,A,Pre,Evaluación inicial,,True
2,U,1,Requerimientos,,True
3,U,2,Proceso de diseño,,True
4,U,3,Arrancar la aplicación,,True
5,A,Mid,Evaluación media,,True
6,U,4,Crear el material del curso,,True
7,U,5,Gestionar el curso,,True
8,U,6,Evaluar el curso,,True
9,A,Fin,Evaluación final,,True
10,U,7,Practicum,,True
11,A,ReviewAssessmentExample,Tarea,,True
12,O,http://www.youtube.com/watch?v=_YatY-bZVnE&feature=player_embedded,¿Cómo crear un curso con unos cuantos clics?,,True


